Año	Residencia CCAA nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
1998	Aragón	Españoles	01	UE-15	Europa	Mujeres	586178
1998	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1160
1998	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	156
1998	Aragón	Extranjeros	03	Magreb	África	Mujeres	384
1998	Aragón	Extranjeros	04	Resto de África	África	Mujeres	408
1998	Aragón	Extranjeros	05	América del Norte	América	Mujeres	133
1998	Aragón	Extranjeros	06	Resto de América	América	Mujeres	1171
1998	Aragón	Extranjeros	07	Asia	Asia	Mujeres	176
1998	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
1998	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	3
1999	Aragón	Españoles	01	UE-15	Europa	Mujeres	590095
1999	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1209
1999	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	194
1999	Aragón	Extranjeros	03	Magreb	África	Mujeres	475
1999	Aragón	Extranjeros	04	Resto de África	África	Mujeres	510
1999	Aragón	Extranjeros	05	América del Norte	América	Mujeres	142
1999	Aragón	Extranjeros	06	Resto de América	América	Mujeres	1339
1999	Aragón	Extranjeros	07	Asia	Asia	Mujeres	195
1999	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	7
1999	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	3
2000	Aragón	Españoles	01	UE-15	Europa	Mujeres	597037
2000	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1337
2000	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	309
2000	Aragón	Extranjeros	03	Magreb	África	Mujeres	743
2000	Aragón	Extranjeros	04	Resto de África	África	Mujeres	727
2000	Aragón	Extranjeros	05	América del Norte	América	Mujeres	151
2000	Aragón	Extranjeros	06	Resto de América	América	Mujeres	1872
2000	Aragón	Extranjeros	07	Asia	Asia	Mujeres	231
2000	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
2000	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	7
2001	Aragón	Españoles	01	UE-15	Europa	Mujeres	595599
2001	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1466
2001	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	1413
2001	Aragón	Extranjeros	03	Magreb	África	Mujeres	1294
2001	Aragón	Extranjeros	04	Resto de África	África	Mujeres	1162
2001	Aragón	Extranjeros	05	América del Norte	América	Mujeres	161
2001	Aragón	Extranjeros	06	Resto de América	América	Mujeres	4770
2001	Aragón	Extranjeros	07	Asia	Asia	Mujeres	323
2001	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	15
2001	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	8
2002	Aragón	Españoles	01	UE-15	Europa	Mujeres	595018
2002	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1677
2002	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	3416
2002	Aragón	Extranjeros	03	Magreb	África	Mujeres	1940
2002	Aragón	Extranjeros	04	Resto de África	África	Mujeres	1561
2002	Aragón	Extranjeros	05	América del Norte	América	Mujeres	168
2002	Aragón	Extranjeros	06	Resto de América	América	Mujeres	9248
2002	Aragón	Extranjeros	07	Asia	Asia	Mujeres	499
2002	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	25
2002	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	7
2003	Aragón	Españoles	01	UE-15	Europa	Mujeres	593225
2003	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1828
2003	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	6850
2003	Aragón	Extranjeros	03	Magreb	África	Mujeres	2711
2003	Aragón	Extranjeros	04	Resto de África	África	Mujeres	1931
2003	Aragón	Extranjeros	05	América del Norte	América	Mujeres	179
2003	Aragón	Extranjeros	06	Resto de América	América	Mujeres	12461
2003	Aragón	Extranjeros	07	Asia	Asia	Mujeres	652
2003	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	33
2003	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	10
2004	Aragón	Españoles	01	UE-15	Europa	Mujeres	594619
2004	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	2107
2004	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	10029
2004	Aragón	Extranjeros	03	Magreb	África	Mujeres	3401
2004	Aragón	Extranjeros	04	Resto de África	África	Mujeres	2339
2004	Aragón	Extranjeros	05	América del Norte	América	Mujeres	209
2004	Aragón	Extranjeros	06	Resto de América	América	Mujeres	15072
2004	Aragón	Extranjeros	07	Asia	Asia	Mujeres	902
2004	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	21
2004	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	11
2005	Aragón	Españoles	01	UE-25	Europa	Mujeres	594482
2005	Aragón	Extranjeros	01	UE-25	Europa	Mujeres	3165
2005	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	13615
2005	Aragón	Extranjeros	03	Magreb	África	Mujeres	4312
2005	Aragón	Extranjeros	04	Resto de África	África	Mujeres	2775
2005	Aragón	Extranjeros	05	América del Norte	América	Mujeres	223
2005	Aragón	Extranjeros	06	Resto de América	América	Mujeres	17056
2005	Aragón	Extranjeros	07	Asia	Asia	Mujeres	1208
2005	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	32
2005	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	11
2006	Aragón	Españoles	01	UE-25	Europa	Mujeres	594099
2006	Aragón	Extranjeros	01	UE-25	Europa	Mujeres	3694
2006	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	16591
2006	Aragón	Extranjeros	03	Magreb	África	Mujeres	4854
2006	Aragón	Extranjeros	04	Resto de África	África	Mujeres	2915
2006	Aragón	Extranjeros	05	América del Norte	América	Mujeres	173
2006	Aragón	Extranjeros	06	Resto de América	América	Mujeres	17047
2006	Aragón	Extranjeros	07	Asia	Asia	Mujeres	1408
2006	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	24
2006	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	7
2007	Aragón	Españoles	01	UE-27	Europa	Mujeres	593950
2007	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	25465
2007	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	1717
2007	Aragón	Extranjeros	03	Magreb	África	Mujeres	5424
2007	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3053
2007	Aragón	Extranjeros	05	América del Norte	América	Mujeres	167
2007	Aragón	Extranjeros	06	Resto de América	América	Mujeres	18254
2007	Aragón	Extranjeros	07	Asia	Asia	Mujeres	1600
2007	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	21
2007	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	8
2008	Aragón	Españoles	01	UE-27	Europa	Mujeres	594138
2008	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	33972
2008	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	1969
2008	Aragón	Extranjeros	03	Magreb	África	Mujeres	6460
2008	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3189
2008	Aragón	Extranjeros	05	América del Norte	América	Mujeres	178
2008	Aragón	Extranjeros	06	Resto de América	América	Mujeres	20715
2008	Aragón	Extranjeros	07	Asia	Asia	Mujeres	1864
2008	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	21
2008	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
2009	Aragón	Españoles	01	UE-27	Europa	Mujeres	595507
2009	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	38102
2009	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2109
2009	Aragón	Extranjeros	03	Magreb	África	Mujeres	7819
2009	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3521
2009	Aragón	Extranjeros	05	América del Norte	América	Mujeres	189
2009	Aragón	Extranjeros	06	Resto de América	América	Mujeres	21998
2009	Aragón	Extranjeros	07	Asia	Asia	Mujeres	2382
2009	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	18
2009	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
2010	Aragón	Españoles	01	UE-27	Europa	Mujeres	595908
2010	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	39330
2010	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2098
2010	Aragón	Extranjeros	03	Magreb	África	Mujeres	8589
2010	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3687
2010	Aragón	Extranjeros	05	América del Norte	América	Mujeres	182
2010	Aragón	Extranjeros	06	Resto de América	América	Mujeres	21545
2010	Aragón	Extranjeros	07	Asia	Asia	Mujeres	2548
2010	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	22
2010	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
2011	Aragón	Españoles	01	UE-27	Europa	Mujeres	596762
2011	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	40487
2011	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2171
2011	Aragón	Extranjeros	03	Magreb	África	Mujeres	8828
2011	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3711
2011	Aragón	Extranjeros	05	América del Norte	América	Mujeres	193
2011	Aragón	Extranjeros	06	Resto de América	América	Mujeres	20177
2011	Aragón	Extranjeros	07	Asia	Asia	Mujeres	2648
2011	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	21
2011	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
2012	Aragón	Españoles	01	UE-27	Europa	Mujeres	597613
2012	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	42193
2012	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2306
2012	Aragón	Extranjeros	03	Magreb	África	Mujeres	9403
2012	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3843
2012	Aragón	Extranjeros	05	América del Norte	América	Mujeres	232
2012	Aragón	Extranjeros	06	Resto de América	América	Mujeres	19007
2012	Aragón	Extranjeros	07	Asia	Asia	Mujeres	2942
2012	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	20
2012	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	10
2013	Aragón	Españoles	01	UE-27	Europa	Mujeres	596264
2013	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	41872
2013	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2405
2013	Aragón	Extranjeros	03	Magreb	África	Mujeres	10042
2013	Aragón	Extranjeros	04	Resto de África	África	Mujeres	4002
2013	Aragón	Extranjeros	05	América del Norte	América	Mujeres	233
2013	Aragón	Extranjeros	06	Resto de América	América	Mujeres	19101
2013	Aragón	Extranjeros	07	Asia	Asia	Mujeres	3216
2013	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	22
2013	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	6
2014	Aragón	Españoles	01	UE-28	Europa	Mujeres	597657
2014	Aragón	Extranjeros	01	UE-28	Europa	Mujeres	34410
2014	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2276
2014	Aragón	Extranjeros	03	Magreb	África	Mujeres	10086
2014	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3913
2014	Aragón	Extranjeros	05	América del Norte	América	Mujeres	207
2014	Aragón	Extranjeros	06	Resto de América	América	Mujeres	16515
2014	Aragón	Extranjeros	07	Asia	Asia	Mujeres	3329
2014	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	26
2014	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	2
2015	Aragón	Españoles	01	UE-28	Europa	Mujeres	598236
2015	Aragón	Extranjeros	01	UE-28	Europa	Mujeres	32972
2015	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2283
2015	Aragón	Extranjeros	03	Magreb	África	Mujeres	9776
2015	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3815
2015	Aragón	Extranjeros	05	América del Norte	América	Mujeres	219
2015	Aragón	Extranjeros	06	Resto de América	América	Mujeres	14588
2015	Aragón	Extranjeros	07	Asia	Asia	Mujeres	3231
2015	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	37
2015	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	3
2016	Aragón	Españoles	01	UE-28	Europa	Mujeres	597248
2016	Aragón	Extranjeros	01	UE-28	Europa	Mujeres	31901
2016	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2259
2016	Aragón	Extranjeros	03	Magreb	África	Mujeres	9691
2016	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3661
2016	Aragón	Extranjeros	05	América del Norte	América	Mujeres	224
2016	Aragón	Extranjeros	06	Resto de América	América	Mujeres	13140
2016	Aragón	Extranjeros	07	Asia	Asia	Mujeres	3185
2016	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	39
2016	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
1998	Aragón	Españoles	01	UE-15	Europa	Hombres	567714
1998	Aragón	Extranjeros	01	UE-15	Europa	Hombres	1099
1998	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	157
1998	Aragón	Extranjeros	03	Magreb	África	Hombres	1073
1998	Aragón	Extranjeros	04	Resto de África	África	Hombres	719
1998	Aragón	Extranjeros	05	América del Norte	América	Hombres	191
1998	Aragón	Extranjeros	06	Resto de América	América	Hombres	636
1998	Aragón	Extranjeros	07	Asia	Asia	Hombres	231
1998	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	7
1998	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	4
1999	Aragón	Españoles	01	UE-15	Europa	Hombres	570897
1999	Aragón	Extranjeros	01	UE-15	Europa	Hombres	1173
1999	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	191
1999	Aragón	Extranjeros	03	Magreb	África	Hombres	1272
1999	Aragón	Extranjeros	04	Resto de África	África	Hombres	899
1999	Aragón	Extranjeros	05	América del Norte	América	Hombres	196
1999	Aragón	Extranjeros	06	Resto de América	América	Hombres	731
1999	Aragón	Extranjeros	07	Asia	Asia	Hombres	253
1999	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	10
1999	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	4
2000	Aragón	Españoles	01	UE-15	Europa	Hombres	578117
2000	Aragón	Extranjeros	01	UE-15	Europa	Hombres	1327
2000	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	377
2000	Aragón	Extranjeros	03	Magreb	África	Hombres	2000
2000	Aragón	Extranjeros	04	Resto de África	África	Hombres	1420
2000	Aragón	Extranjeros	05	América del Norte	América	Hombres	220
2000	Aragón	Extranjeros	06	Resto de América	América	Hombres	979
2000	Aragón	Extranjeros	07	Asia	Asia	Hombres	298
2000	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	13
2000	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	6
2001	Aragón	Españoles	01	UE-15	Europa	Hombres	577321
2001	Aragón	Extranjeros	01	UE-15	Europa	Hombres	1513
2001	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	2581
2001	Aragón	Extranjeros	03	Magreb	África	Hombres	4030
2001	Aragón	Extranjeros	04	Resto de África	África	Hombres	2309
2001	Aragón	Extranjeros	05	América del Norte	América	Hombres	235
2001	Aragón	Extranjeros	06	Resto de América	América	Hombres	3232
2001	Aragón	Extranjeros	07	Asia	Asia	Hombres	554
2001	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	23
2001	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	8
2002	Aragón	Españoles	01	UE-15	Europa	Hombres	576893
2002	Aragón	Extranjeros	01	UE-15	Europa	Hombres	1814
2002	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	5552
2002	Aragón	Extranjeros	03	Magreb	África	Hombres	6675
2002	Aragón	Extranjeros	04	Resto de África	África	Hombres	3614
2002	Aragón	Extranjeros	05	América del Norte	América	Hombres	255
2002	Aragón	Extranjeros	06	Resto de América	América	Hombres	6604
2002	Aragón	Extranjeros	07	Asia	Asia	Hombres	863
2002	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	45
2002	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	10
2003	Aragón	Españoles	01	UE-15	Europa	Hombres	574969
2003	Aragón	Extranjeros	01	UE-15	Europa	Hombres	2103
2003	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	9531
2003	Aragón	Extranjeros	03	Magreb	África	Hombres	8437
2003	Aragón	Extranjeros	04	Resto de África	África	Hombres	4540
2003	Aragón	Extranjeros	05	América del Norte	América	Hombres	264
2003	Aragón	Extranjeros	06	Resto de América	América	Hombres	9242
2003	Aragón	Extranjeros	07	Asia	Asia	Hombres	1065
2003	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	43
2003	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	16
2004	Aragón	Españoles	01	UE-15	Europa	Hombres	577420
2004	Aragón	Extranjeros	01	UE-15	Europa	Hombres	2535
2004	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	12878
2004	Aragón	Extranjeros	03	Magreb	África	Hombres	9459
2004	Aragón	Extranjeros	04	Resto de África	África	Hombres	5430
2004	Aragón	Extranjeros	05	América del Norte	América	Hombres	306
2004	Aragón	Extranjeros	06	Resto de América	América	Hombres	11470
2004	Aragón	Extranjeros	07	Asia	Asia	Hombres	1315
2004	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	41
2004	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	20
2005	Aragón	Españoles	01	UE-25	Europa	Hombres	577697
2005	Aragón	Extranjeros	01	UE-25	Europa	Hombres	4168
2005	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	17041
2005	Aragón	Extranjeros	03	Magreb	África	Hombres	11143
2005	Aragón	Extranjeros	04	Resto de África	África	Hombres	6746
2005	Aragón	Extranjeros	05	América del Norte	América	Hombres	330
2005	Aragón	Extranjeros	06	Resto de América	América	Hombres	13145
2005	Aragón	Extranjeros	07	Asia	Asia	Hombres	1805
2005	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	49
2005	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	24
2006	Aragón	Españoles	01	UE-25	Europa	Hombres	578011
2006	Aragón	Extranjeros	01	UE-25	Europa	Hombres	5104
2006	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	19400
2006	Aragón	Extranjeros	03	Magreb	África	Hombres	11141
2006	Aragón	Extranjeros	04	Resto de África	África	Hombres	7111
2006	Aragón	Extranjeros	05	América del Norte	América	Hombres	253
2006	Aragón	Extranjeros	06	Resto de América	América	Hombres	13146
2006	Aragón	Extranjeros	07	Asia	Asia	Hombres	2436
2006	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	38
2006	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	19
2007	Aragón	Españoles	01	UE-27	Europa	Hombres	578301
2007	Aragón	Extranjeros	01	UE-27	Europa	Hombres	31398
2007	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1444
2007	Aragón	Extranjeros	03	Magreb	África	Hombres	11732
2007	Aragón	Extranjeros	04	Resto de África	África	Hombres	7473
2007	Aragón	Extranjeros	05	América del Norte	América	Hombres	258
2007	Aragón	Extranjeros	06	Resto de América	América	Hombres	13942
2007	Aragón	Extranjeros	07	Asia	Asia	Hombres	2410
2007	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	18
2007	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	20
2008	Aragón	Españoles	01	UE-27	Europa	Hombres	577888
2008	Aragón	Extranjeros	01	UE-27	Europa	Hombres	43900
2008	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1637
2008	Aragón	Extranjeros	03	Magreb	África	Hombres	13587
2008	Aragón	Extranjeros	04	Resto de África	África	Hombres	8239
2008	Aragón	Extranjeros	05	América del Norte	América	Hombres	273
2008	Aragón	Extranjeros	06	Resto de América	América	Hombres	16146
2008	Aragón	Extranjeros	07	Asia	Asia	Hombres	2690
2008	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	23
2008	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	20
2009	Aragón	Españoles	01	UE-27	Europa	Hombres	577828
2009	Aragón	Extranjeros	01	UE-27	Europa	Hombres	48189
2009	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1682
2009	Aragón	Extranjeros	03	Magreb	África	Hombres	15538
2009	Aragón	Extranjeros	04	Resto de África	África	Hombres	9337
2009	Aragón	Extranjeros	05	América del Norte	América	Hombres	295
2009	Aragón	Extranjeros	06	Resto de América	América	Hombres	17485
2009	Aragón	Extranjeros	07	Asia	Asia	Hombres	3419
2009	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	26
2009	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	20
2010	Aragón	Españoles	01	UE-27	Europa	Hombres	578101
2010	Aragón	Extranjeros	01	UE-27	Europa	Hombres	48084
2010	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1598
2010	Aragón	Extranjeros	03	Magreb	África	Hombres	15530
2010	Aragón	Extranjeros	04	Resto de África	África	Hombres	9294
2010	Aragón	Extranjeros	05	América del Norte	América	Hombres	294
2010	Aragón	Extranjeros	06	Resto de América	América	Hombres	16613
2010	Aragón	Extranjeros	07	Asia	Asia	Hombres	3620
2010	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	23
2010	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	20
2011	Aragón	Españoles	01	UE-27	Europa	Hombres	578338
2011	Aragón	Extranjeros	01	UE-27	Europa	Hombres	48022
2011	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1608
2011	Aragón	Extranjeros	03	Magreb	África	Hombres	15258
2011	Aragón	Extranjeros	04	Resto de África	África	Hombres	9194
2011	Aragón	Extranjeros	05	América del Norte	América	Hombres	277
2011	Aragón	Extranjeros	06	Resto de América	América	Hombres	14818
2011	Aragón	Extranjeros	07	Asia	Asia	Hombres	3732
2011	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	18
2011	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	21
2012	Aragón	Españoles	01	UE-27	Europa	Hombres	578743
2012	Aragón	Extranjeros	01	UE-27	Europa	Hombres	48964
2012	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1680
2012	Aragón	Extranjeros	03	Magreb	África	Hombres	15374
2012	Aragón	Extranjeros	04	Resto de África	África	Hombres	9233
2012	Aragón	Extranjeros	05	América del Norte	América	Hombres	278
2012	Aragón	Extranjeros	06	Resto de América	América	Hombres	13499
2012	Aragón	Extranjeros	07	Asia	Asia	Hombres	4087
2012	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	20
2012	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	20
2013	Aragón	Españoles	01	UE-27	Europa	Hombres	577233
2013	Aragón	Extranjeros	01	UE-27	Europa	Hombres	47553
2013	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1678
2013	Aragón	Extranjeros	03	Magreb	África	Hombres	15837
2013	Aragón	Extranjeros	04	Resto de África	África	Hombres	9518
2013	Aragón	Extranjeros	05	América del Norte	América	Hombres	269
2013	Aragón	Extranjeros	06	Resto de América	América	Hombres	13263
2013	Aragón	Extranjeros	07	Asia	Asia	Hombres	4599
2013	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	22
2013	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	15
2014	Aragón	Españoles	01	UE-28	Europa	Hombres	578497
2014	Aragón	Extranjeros	01	UE-28	Europa	Hombres	36242
2014	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1557
2014	Aragón	Extranjeros	03	Magreb	África	Hombres	15278
2014	Aragón	Extranjeros	04	Resto de África	África	Hombres	9181
2014	Aragón	Extranjeros	05	América del Norte	América	Hombres	252
2014	Aragón	Extranjeros	06	Resto de América	América	Hombres	11353
2014	Aragón	Extranjeros	07	Asia	Asia	Hombres	4571
2014	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	24
2014	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	9
2015	Aragón	Españoles	01	UE-28	Europa	Hombres	579428
2015	Aragón	Extranjeros	01	UE-28	Europa	Hombres	33730
2015	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1493
2015	Aragón	Extranjeros	03	Magreb	África	Hombres	14459
2015	Aragón	Extranjeros	04	Resto de África	África	Hombres	9275
2015	Aragón	Extranjeros	05	América del Norte	América	Hombres	232
2015	Aragón	Extranjeros	06	Resto de América	América	Hombres	9695
2015	Aragón	Extranjeros	07	Asia	Asia	Hombres	4335
2015	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	27
2015	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	13
2016	Aragón	Españoles	01	UE-28	Europa	Hombres	578502
2016	Aragón	Extranjeros	01	UE-28	Europa	Hombres	32144
2016	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1499
2016	Aragón	Extranjeros	03	Magreb	África	Hombres	13684
2016	Aragón	Extranjeros	04	Resto de África	África	Hombres	8261
2016	Aragón	Extranjeros	05	América del Norte	América	Hombres	244
2016	Aragón	Extranjeros	06	Resto de América	América	Hombres	8655
2016	Aragón	Extranjeros	07	Asia	Asia	Hombres	4168
2016	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	32
2016	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	17