Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción
2020	50	Zaragoza	720	43	Actividades de construcción especializada
2020	50	Zaragoza	555	49	Transporte terrestre y por tubería
2020	50	Zaragoza	478	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2020	50	Zaragoza	429	10	Industria de la alimentación
2020	50	Zaragoza	415	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2020	22	Huesca	408	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2020	50	Zaragoza	404	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2020	22	Huesca	386	10	Industria de la alimentación
2020	50	Zaragoza	307	29	Fabricación de vehículos de motor, remolques y semirremolques
2020	50	Zaragoza	296	41	Construcción de edificios
2020	50	Zaragoza	294	86	Actividades sanitarias
2020	50	Zaragoza	290	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2020	22	Huesca	212	43	Actividades de construcción especializada
2020	22	Huesca	169	41	Construcción de edificios
2020	44	Teruel	152	41	Construcción de edificios
2020	44	Teruel	147	10	Industria de la alimentación
2020	22	Huesca	145	49	Transporte terrestre y por tubería
2020	22	Huesca	127	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2020	44	Teruel	119	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2020	44	Teruel	99	43	Actividades de construcción especializada
2020	22	Huesca	91	84	Administración Pública y defensa; Seguridad Social obligatoria
2020	22	Huesca	90	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2020	44	Teruel	80	49	Transporte terrestre y por tubería
2020	22	Huesca	73	93	Actividades deportivas, recreativas y de entretenimiento
2020	22	Huesca	70	86	Actividades sanitarias
2020	44	Teruel	65	02	Silvicultura y explotación forestal
2020	44	Teruel	61	23	Fabricación de otros productos minerales no metálicos
2020	44	Teruel	57	84	Administración Pública y defensa; Seguridad Social obligatoria
2020	44	Teruel	47	45	Venta y reparación de vehículos de motor y motocicletas
2020	44	Teruel	40	29	Fabricación de vehículos de motor, remolques y semirremolques
2019	50	Zaragoza	789	43	Actividades de construcción especializada
2019	50	Zaragoza	669	49	Transporte terrestre y por tubería
2019	50	Zaragoza	622	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2019	50	Zaragoza	493	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2019	50	Zaragoza	491	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2019	50	Zaragoza	466	29	Fabricación de vehículos de motor, remolques y semirremolques
2019	22	Huesca	442	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2019	50	Zaragoza	424	10	Industria de la alimentación
2019	50	Zaragoza	348	41	Construcción de edificios
2019	50	Zaragoza	323	52	Almacenamiento y actividades anexas al transporte
2019	50	Zaragoza	313	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2019	22	Huesca	297	43	Actividades de construcción especializada
2019	22	Huesca	220	41	Construcción de edificios
2019	22	Huesca	194	10	Industria de la alimentación
2019	22	Huesca	144	49	Transporte terrestre y por tubería
2019	44	Teruel	131	41	Construcción de edificios
2019	22	Huesca	128	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2019	44	Teruel	123	10	Industria de la alimentación
2019	22	Huesca	121	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2019	22	Huesca	103	84	Administración Pública y defensa; Seguridad Social obligatoria
2019	44	Teruel	98	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2019	22	Huesca	85	93	Actividades deportivas, recreativas y de entretenimiento
2019	22	Huesca	83	28	Fabricación de maquinaria y equipo n.c.o.p.
2019	44	Teruel	82	49	Transporte terrestre y por tubería
2019	44	Teruel	79	43	Actividades de construcción especializada
2019	44	Teruel	67	23	Fabricación de otros productos minerales no metálicos
2019	44	Teruel	61	29	Fabricación de vehículos de motor, remolques y semirremolques
2019	44	Teruel	50	02	Silvicultura y explotación forestal
2019	44	Teruel	44	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2019	44	Teruel	44	84	Administración Pública y defensa; Seguridad Social obligatoria
2018	50	Zaragoza	659	43	Actividades de construcción especializada
2018	50	Zaragoza	653	49	Transporte terrestre y por tubería
2018	50	Zaragoza	570	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2018	50	Zaragoza	483	29	Fabricación de vehículos de motor, remolques y semirremolques
2018	50	Zaragoza	448	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2018	50	Zaragoza	415	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2018	22	Huesca	409	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2018	50	Zaragoza	322	41	Construcción de edificios
2018	50	Zaragoza	319	52	Almacenamiento y actividades anexas al transporte
2018	50	Zaragoza	314	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2018	50	Zaragoza	309	84	Administración Pública y defensa; Seguridad Social obligatoria
2018	22	Huesca	204	41	Construcción de edificios
2018	22	Huesca	201	43	Actividades de construcción especializada
2018	44	Teruel	134	10	Industria de la alimentación
2018	22	Huesca	133	10	Industria de la alimentación
2018	22	Huesca	118	49	Transporte terrestre y por tubería
2018	22	Huesca	114	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2018	22	Huesca	113	84	Administración Pública y defensa; Seguridad Social obligatoria
2018	44	Teruel	102	41	Construcción de edificios
2018	22	Huesca	100	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2018	44	Teruel	99	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2018	44	Teruel	85	43	Actividades de construcción especializada
2018	44	Teruel	78	49	Transporte terrestre y por tubería
2018	22	Huesca	74	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones
2018	44	Teruel	73	23	Fabricación de otros productos minerales no metálicos
2018	22	Huesca	65	28	Fabricación de maquinaria y equipo n.c.o.p.
2018	44	Teruel	61	02	Silvicultura y explotación forestal
2018	44	Teruel	60	29	Fabricación de vehículos de motor, remolques y semirremolques
2018	44	Teruel	48	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería
2018	44	Teruel	48	84	Administración Pública y defensa; Seguridad Social obligatoria
2017	50	Zaragoza	626	49	Transporte terrestre y por tubería
2017	50	Zaragoza	579	43	Actividades de construcción especializada
2017	50	Zaragoza	536	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2017	50	Zaragoza	474	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2017	50	Zaragoza	430	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2017	50	Zaragoza	426	29	Fabricación de vehículos de motor, remolques y semirremolques
2017	22	Huesca	387	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2017	50	Zaragoza	371	84	Administración Pública y defensa; Seguridad Social obligatoria
2017	50	Zaragoza	313	52	Almacenamiento y actividades anexas al transporte
2017	50	Zaragoza	300	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2017	50	Zaragoza	280	28	Fabricación de maquinaria y equipo n.c.o.p.
2017	22	Huesca	182	43	Actividades de construcción especializada
2017	22	Huesca	153	41	Construcción de edificios
2017	44	Teruel	131	10	Industria de la alimentación
2017	22	Huesca	126	84	Administración Pública y defensa; Seguridad Social obligatoria
2017	22	Huesca	121	49	Transporte terrestre y por tubería
2017	22	Huesca	112	10	Industria de la alimentación
2017	22	Huesca	109	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2017	22	Huesca	101	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2017	44	Teruel	85	41	Construcción de edificios
2017	44	Teruel	81	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2017	44	Teruel	77	29	Fabricación de vehículos de motor, remolques y semirremolques
2017	44	Teruel	67	43	Actividades de construcción especializada
2017	22	Huesca	63	93	Actividades deportivas, recreativas y de entretenimiento
2017	22	Huesca	62	28	Fabricación de maquinaria y equipo n.c.o.p.
2017	44	Teruel	60	49	Transporte terrestre y por tubería
2017	44	Teruel	59	84	Administración Pública y defensa; Seguridad Social obligatoria
2017	44	Teruel	47	23	Fabricación de otros productos minerales no metálicos
2017	44	Teruel	40	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2017	44	Teruel	39	02	Silvicultura y explotación forestal
2016	50	Zaragoza	551	43	Actividades de construcción especializada
2016	50	Zaragoza	526	49	Transporte terrestre y por tubería
2016	50	Zaragoza	454	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2016	50	Zaragoza	429	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2016	50	Zaragoza	396	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2016	22	Huesca	353	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2016	50	Zaragoza	319	29	Fabricación de vehículos de motor, remolques y semirremolques
2016	50	Zaragoza	319	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2016	50	Zaragoza	312	84	Administración Pública y defensa; Seguridad Social obligatoria
2016	50	Zaragoza	262	52	Almacenamiento y actividades anexas al transporte
2016	50	Zaragoza	259	28	Fabricación de maquinaria y equipo n.c.o.p.
2016	22	Huesca	156	43	Actividades de construcción especializada
2016	22	Huesca	148	41	Construcción de edificios
2016	22	Huesca	120	49	Transporte terrestre y por tubería
2016	22	Huesca	111	10	Industria de la alimentación
2016	22	Huesca	109	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2016	44	Teruel	105	10	Industria de la alimentación
2016	44	Teruel	104	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2016	22	Huesca	100	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2016	22	Huesca	96	84	Administración Pública y defensa; Seguridad Social obligatoria
2016	44	Teruel	93	29	Fabricación de vehículos de motor, remolques y semirremolques
2016	44	Teruel	91	41	Construcción de edificios
2016	44	Teruel	87	05	Extracción de antracita, hulla y lignito
2016	22	Huesca	82	45	Venta y reparación de vehículos de motor y motocicletas
2016	22	Huesca	77	28	Fabricación de maquinaria y equipo n.c.o.p.
2016	44	Teruel	65	43	Actividades de construcción especializada
2016	44	Teruel	64	49	Transporte terrestre y por tubería
2016	44	Teruel	61	84	Administración Pública y defensa; Seguridad Social obligatoria
2016	44	Teruel	51	23	Fabricación de otros productos minerales no metálicos
2016	44	Teruel	36	02	Silvicultura y explotación forestal
2015	50	Zaragoza	566	49	Transporte terrestre y por tubería
2015	50	Zaragoza	494	43	Actividades de construcción especializada
2015	50	Zaragoza	461	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2015	50	Zaragoza	375	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2015	50	Zaragoza	369	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2015	50	Zaragoza	351	84	Administración Pública y defensa; Seguridad Social obligatoria
2015	50	Zaragoza	321	29	Fabricación de vehículos de motor, remolques y semirremolques
2015	22	Huesca	310	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2015	50	Zaragoza	292	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2015	50	Zaragoza	251	28	Fabricación de maquinaria y equipo n.c.o.p.
2015	50	Zaragoza	203	52	Almacenamiento y actividades anexas al transporte
2015	22	Huesca	156	41	Construcción de edificios
2015	22	Huesca	120	43	Actividades de construcción especializada
2015	22	Huesca	114	49	Transporte terrestre y por tubería
2015	22	Huesca	110	84	Administración Pública y defensa; Seguridad Social obligatoria
2015	22	Huesca	108	10	Industria de la alimentación
2015	22	Huesca	90	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2015	44	Teruel	89	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2015	22	Huesca	81	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2015	44	Teruel	75	41	Construcción de edificios
2015	22	Huesca	72	45	Venta y reparación de vehículos de motor y motocicletas
2015	22	Huesca	62	28	Fabricación de maquinaria y equipo n.c.o.p.
2015	44	Teruel	62	05	Extracción de antracita, hulla y lignito
2015	44	Teruel	56	10	Industria de la alimentación
2015	44	Teruel	45	49	Transporte terrestre y por tubería
2015	44	Teruel	43	23	Fabricación de otros productos minerales no metálicos
2015	44	Teruel	41	84	Administración Pública y defensa; Seguridad Social obligatoria
2015	44	Teruel	38	43	Actividades de construcción especializada
2015	44	Teruel	35	29	Fabricación de vehículos de motor, remolques y semirremolques
2015	44	Teruel	34	02	Silvicultura y explotación forestal
2014	50	Zaragoza	475	49	Transporte terrestre y por tubería
2014	50	Zaragoza	402	43	Actividades de construcción especializada
2014	50	Zaragoza	385	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2014	50	Zaragoza	364	84	Administración Pública y defensa; Seguridad Social obligatoria
2014	50	Zaragoza	327	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2014	50	Zaragoza	323	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2014	50	Zaragoza	264	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2014	22	Huesca	254	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2014	50	Zaragoza	235	28	Fabricación de maquinaria y equipo n.c.o.p.
2014	50	Zaragoza	235	29	Fabricación de vehículos de motor, remolques y semirremolques
2014	50	Zaragoza	180	41	Construcción de edificios
2014	22	Huesca	131	41	Construcción de edificios
2014	22	Huesca	127	43	Actividades de construcción especializada
2014	22	Huesca	117	84	Administración Pública y defensa; Seguridad Social obligatoria
2014	22	Huesca	101	10	Industria de la alimentación
2014	44	Teruel	94	41	Construcción de edificios
2014	22	Huesca	87	49	Transporte terrestre y por tubería
2014	22	Huesca	85	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2014	44	Teruel	77	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2014	44	Teruel	70	10	Industria de la alimentación
2014	22	Huesca	66	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2014	44	Teruel	56	05	Extracción de antracita, hulla y lignito
2014	22	Huesca	55	45	Venta y reparación de vehículos de motor y motocicletas
2014	44	Teruel	53	29	Fabricación de vehículos de motor, remolques y semirremolques
2014	44	Teruel	53	43	Actividades de construcción especializada
2014	44	Teruel	53	49	Transporte terrestre y por tubería
2014	22	Huesca	51	93	Actividades deportivas, recreativas y de entretenimiento
2014	44	Teruel	47	84	Administración Pública y defensa; Seguridad Social obligatoria
2014	44	Teruel	38	23	Fabricación de otros productos minerales no metálicos
2014	44	Teruel	29	02	Silvicultura y explotación forestal
2013	50	Zaragoza	463	43	Actividades de construcción especializada
2013	50	Zaragoza	429	84	Administración Pública y defensa; Seguridad Social obligatoria
2013	50	Zaragoza	417	49	Transporte terrestre y por tubería
2013	50	Zaragoza	404	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2013	50	Zaragoza	334	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2013	50	Zaragoza	293	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2013	22	Huesca	238	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2013	50	Zaragoza	227	28	Fabricación de maquinaria y equipo n.c.o.p.
2013	50	Zaragoza	224	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2013	50	Zaragoza	194	29	Fabricación de vehículos de motor, remolques y semirremolques
2013	50	Zaragoza	180	10	Industria de la alimentación
2013	22	Huesca	134	43	Actividades de construcción especializada
2013	22	Huesca	132	84	Administración Pública y defensa; Seguridad Social obligatoria
2013	22	Huesca	128	41	Construcción de edificios
2013	44	Teruel	91	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2013	22	Huesca	86	10	Industria de la alimentación
2013	44	Teruel	84	41	Construcción de edificios
2013	22	Huesca	79	49	Transporte terrestre y por tubería
2013	22	Huesca	71	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2013	44	Teruel	65	43	Actividades de construcción especializada
2013	22	Huesca	61	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2013	44	Teruel	58	29	Fabricación de vehículos de motor, remolques y semirremolques
2013	44	Teruel	56	10	Industria de la alimentación
2013	22	Huesca	54	93	Actividades deportivas, recreativas y de entretenimiento
2013	44	Teruel	53	05	Extracción de antracita, hulla y lignito
2013	44	Teruel	51	84	Administración Pública y defensa; Seguridad Social obligatoria
2013	22	Huesca	50	45	Venta y reparación de vehículos de motor y motocicletas
2013	44	Teruel	46	49	Transporte terrestre y por tubería
2013	44	Teruel	36	23	Fabricación de otros productos minerales no metálicos
2013	44	Teruel	33	02	Silvicultura y explotación forestal
2012	50	Zaragoza	568	43	Actividades de construcción especializada
2012	50	Zaragoza	477	49	Transporte terrestre y por tubería
2012	50	Zaragoza	441	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2012	50	Zaragoza	341	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2012	50	Zaragoza	336	84	Administración Pública y defensa; Seguridad Social obligatoria
2012	50	Zaragoza	316	41	Construcción de edificios
2012	50	Zaragoza	298	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2012	50	Zaragoza	252	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2012	50	Zaragoza	246	28	Fabricación de maquinaria y equipo n.c.o.p.
2012	50	Zaragoza	205	29	Fabricación de vehículos de motor, remolques y semirremolques
2012	22	Huesca	197	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2012	22	Huesca	146	41	Construcción de edificios
2012	22	Huesca	133	43	Actividades de construcción especializada
2012	44	Teruel	123	41	Construcción de edificios
2012	22	Huesca	97	84	Administración Pública y defensa; Seguridad Social obligatoria
2012	22	Huesca	94	49	Transporte terrestre y por tubería
2012	22	Huesca	90	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2012	22	Huesca	83	10	Industria de la alimentación
2012	44	Teruel	81	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2012	22	Huesca	77	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2012	44	Teruel	67	43	Actividades de construcción especializada
2012	44	Teruel	66	49	Transporte terrestre y por tubería
2012	22	Huesca	62	93	Actividades deportivas, recreativas y de entretenimiento
2012	44	Teruel	62	05	Extracción de antracita, hulla y lignito
2012	22	Huesca	61	28	Fabricación de maquinaria y equipo n.c.o.p.
2012	44	Teruel	51	10	Industria de la alimentación
2012	44	Teruel	47	29	Fabricación de vehículos de motor, remolques y semirremolques
2012	44	Teruel	40	23	Fabricación de otros productos minerales no metálicos
2012	44	Teruel	37	84	Administración Pública y defensa; Seguridad Social obligatoria
2012	44	Teruel	26	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2011	50	Zaragoza	705	43	Actividades de construcción especializada
2011	50	Zaragoza	524	41	Construcción de edificios
2011	50	Zaragoza	522	49	Transporte terrestre y por tubería
2011	50	Zaragoza	516	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2011	50	Zaragoza	412	84	Administración Pública y defensa; Seguridad Social obligatoria
2011	50	Zaragoza	366	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2011	50	Zaragoza	342	29	Fabricación de vehículos de motor, remolques y semirremolques
2011	50	Zaragoza	299	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2011	50	Zaragoza	293	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2011	50	Zaragoza	284	28	Fabricación de maquinaria y equipo n.c.o.p.
2011	22	Huesca	231	43	Actividades de construcción especializada
2011	22	Huesca	207	41	Construcción de edificios
2011	22	Huesca	182	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2011	44	Teruel	175	41	Construcción de edificios
2011	22	Huesca	110	49	Transporte terrestre y por tubería
2011	22	Huesca	106	10	Industria de la alimentación
2011	22	Huesca	99	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2011	22	Huesca	96	84	Administración Pública y defensa; Seguridad Social obligatoria
2011	44	Teruel	94	05	Extracción de antracita, hulla y lignito
2011	44	Teruel	93	43	Actividades de construcción especializada
2011	22	Huesca	75	45	Venta y reparación de vehículos de motor y motocicletas
2011	44	Teruel	68	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2011	44	Teruel	66	29	Fabricación de vehículos de motor, remolques y semirremolques
2011	22	Huesca	64	42	Ingeniería civil
2011	22	Huesca	64	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2011	44	Teruel	60	49	Transporte terrestre y por tubería
2011	44	Teruel	59	10	Industria de la alimentación
2011	44	Teruel	57	84	Administración Pública y defensa; Seguridad Social obligatoria
2011	44	Teruel	43	23	Fabricación de otros productos minerales no metálicos
2011	44	Teruel	37	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2010	50	Zaragoza	880	43	Actividades de construcción especializada
2010	50	Zaragoza	654	41	Construcción de edificios
2010	50	Zaragoza	589	49	Transporte terrestre y por tubería
2010	50	Zaragoza	537	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2010	50	Zaragoza	414	29	Fabricación de vehículos de motor, remolques y semirremolques
2010	50	Zaragoza	414	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2010	50	Zaragoza	396	84	Administración Pública y defensa; Seguridad Social obligatoria
2010	50	Zaragoza	340	28	Fabricación de maquinaria y equipo n.c.o.p.
2010	50	Zaragoza	293	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2010	50	Zaragoza	278	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2010	22	Huesca	254	43	Actividades de construcción especializada
2010	22	Huesca	234	41	Construcción de edificios
2010	44	Teruel	188	41	Construcción de edificios
2010	22	Huesca	159	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2010	22	Huesca	146	49	Transporte terrestre y por tubería
2010	22	Huesca	116	84	Administración Pública y defensa; Seguridad Social obligatoria
2010	44	Teruel	108	43	Actividades de construcción especializada
2010	22	Huesca	95	10	Industria de la alimentación
2010	44	Teruel	95	05	Extracción de antracita, hulla y lignito
2010	44	Teruel	93	29	Fabricación de vehículos de motor, remolques y semirremolques
2010	22	Huesca	80	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2010	44	Teruel	77	49	Transporte terrestre y por tubería
2010	44	Teruel	76	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2010	44	Teruel	74	23	Fabricación de otros productos minerales no metálicos
2010	22	Huesca	60	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2010	22	Huesca	58	93	Actividades deportivas, recreativas y de entretenimiento
2010	44	Teruel	58	84	Administración Pública y defensa; Seguridad Social obligatoria
2010	44	Teruel	55	10	Industria de la alimentación
2010	22	Huesca	49	42	Ingeniería civil
2010	44	Teruel	43	02	Silvicultura y explotación forestal
2009	50	Zaragoza	920	43	Actividades de construcción especializada
2009	50	Zaragoza	763	41	Construcción de edificios
2009	50	Zaragoza	609	49	Transporte terrestre y por tubería
2009	50	Zaragoza	548	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2009	50	Zaragoza	433	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2009	50	Zaragoza	408	84	Administración Pública y defensa; Seguridad Social obligatoria
2009	50	Zaragoza	395	28	Fabricación de maquinaria y equipo n.c.o.p.
2009	22	Huesca	364	41	Construcción de edificios
2009	50	Zaragoza	349	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2009	50	Zaragoza	320	29	Fabricación de vehículos de motor, remolques y semirremolques
2009	22	Huesca	309	43	Actividades de construcción especializada
2009	50	Zaragoza	306	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2009	44	Teruel	227	41	Construcción de edificios
2009	22	Huesca	177	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2009	22	Huesca	128	49	Transporte terrestre y por tubería
2009	44	Teruel	127	43	Actividades de construcción especializada
2009	22	Huesca	118	84	Administración Pública y defensa; Seguridad Social obligatoria
2009	22	Huesca	97	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2009	44	Teruel	96	05	Extracción de antracita, hulla y lignito
2009	22	Huesca	94	10	Industria de la alimentación
2009	44	Teruel	86	29	Fabricación de vehículos de motor, remolques y semirremolques
2009	44	Teruel	82	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2009	44	Teruel	82	10	Industria de la alimentación
2009	44	Teruel	82	23	Fabricación de otros productos minerales no metálicos
2009	22	Huesca	72	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2009	44	Teruel	68	49	Transporte terrestre y por tubería
2009	22	Huesca	65	93	Actividades deportivas, recreativas y de entretenimiento
2009	22	Huesca	64	28	Fabricación de maquinaria y equipo n.c.o.p.
2009	44	Teruel	59	84	Administración Pública y defensa; Seguridad Social obligatoria
2009	44	Teruel	41	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas