Año	Dirección Provincial Código	Dirección Provincial Nombre	Temporalidad	Sector Código	Sector Descripción	Nº Accidentes
2018	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	10
2018	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	21
2018	22	Huesca	Indefinido	2	Industria y energía	25
2018	22	Huesca	Temporal	2	Industria y energía	15
2018	22	Huesca	Indefinido	3	Construcción	6
2018	22	Huesca	Temporal	3	Construcción	5
2018	22	Huesca	Indefinido	4	Servicios	57
2018	22	Huesca	Temporal	4	Servicios	82
2018	22	Huesca	Sin clasificar	4	Servicios	1
2018	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	2
2018	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	1
2018	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	1
2018	44	Teruel	Indefinido	2	Industria y energía	12
2018	44	Teruel	Temporal	2	Industria y energía	7
2018	44	Teruel	Indefinido	3	Construcción	9
2018	44	Teruel	Temporal	3	Construcción	3
2018	44	Teruel	Indefinido	4	Servicios	44
2018	44	Teruel	Temporal	4	Servicios	27
2018	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	11
2018	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	27
2018	50	Zaragoza	Indefinido	2	Industria y energía	215
2018	50	Zaragoza	Temporal	2	Industria y energía	119
2018	50	Zaragoza	Indefinido	3	Construcción	36
2018	50	Zaragoza	Temporal	3	Construcción	33
2018	50	Zaragoza	Sin clasificar	3	Construcción	1
2018	50	Zaragoza	Indefinido	4	Servicios	873
2018	50	Zaragoza	Temporal	4	Servicios	451
2018	50	Zaragoza	Sin clasificar	4	Servicios	5
2017	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	8
2017	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	20
2017	22	Huesca	Indefinido	2	Industria y energía	23
2017	22	Huesca	Temporal	2	Industria y energía	5
2017	22	Huesca	Indefinido	3	Construcción	11
2017	22	Huesca	Temporal	3	Construcción	7
2017	22	Huesca	Indefinido	4	Servicios	74
2017	22	Huesca	Temporal	4	Servicios	66
2017	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	2
2017	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	2
2017	44	Teruel	Indefinido	2	Industria y energía	15
2017	44	Teruel	Temporal	2	Industria y energía	2
2017	44	Teruel	Indefinido	4	Servicios	41
2017	44	Teruel	Temporal	4	Servicios	41
2017	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	4
2017	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	20
2017	50	Zaragoza	Indefinido	2	Industria y energía	194
2017	50	Zaragoza	Temporal	2	Industria y energía	112
2017	50	Zaragoza	Indefinido	3	Construcción	20
2017	50	Zaragoza	Temporal	3	Construcción	27
2017	50	Zaragoza	Indefinido	4	Servicios	822
2017	50	Zaragoza	Temporal	4	Servicios	497
2016	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	6
2016	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	8
2016	22	Huesca	Indefinido	2	Industria y energía	16
2016	22	Huesca	Temporal	2	Industria y energía	8
2016	22	Huesca	Indefinido	3	Construcción	5
2016	22	Huesca	Temporal	3	Construcción	3
2016	22	Huesca	Indefinido	4	Servicios	70
2016	22	Huesca	Temporal	4	Servicios	54
2016	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	2
2016	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	6
2016	44	Teruel	Indefinido	2	Industria y energía	20
2016	44	Teruel	Temporal	2	Industria y energía	5
2016	44	Teruel	Indefinido	3	Construcción	3
2016	44	Teruel	Temporal	3	Construcción	2
2016	44	Teruel	Indefinido	4	Servicios	32
2016	44	Teruel	Temporal	4	Servicios	38
2016	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	6
2016	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	20
2016	50	Zaragoza	Indefinido	2	Industria y energía	140
2016	50	Zaragoza	Temporal	2	Industria y energía	66
2016	50	Zaragoza	Indefinido	3	Construcción	29
2016	50	Zaragoza	Temporal	3	Construcción	17
2016	50	Zaragoza	Indefinido	4	Servicios	831
2016	50	Zaragoza	Temporal	4	Servicios	392
2015	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	8
2015	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	9
2015	22	Huesca	Indefinido	2	Industria y energía	16
2015	22	Huesca	Temporal	2	Industria y energía	9
2015	22	Huesca	Indefinido	3	Construcción	4
2015	22	Huesca	Temporal	3	Construcción	4
2015	22	Huesca	Indefinido	4	Servicios	85
2015	22	Huesca	Temporal	4	Servicios	44
2015	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	1
2015	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	1
2015	44	Teruel	Indefinido	2	Industria y energía	8
2015	44	Teruel	Temporal	2	Industria y energía	4
2015	44	Teruel	Indefinido	3	Construcción	2
2015	44	Teruel	Indefinido	4	Servicios	23
2015	44	Teruel	Temporal	4	Servicios	25
2015	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	6
2015	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	7
2015	50	Zaragoza	Sin clasificar	1	Agricultura, ganadería y pesca	1
2015	50	Zaragoza	Indefinido	2	Industria y energía	147
2015	50	Zaragoza	Temporal	2	Industria y energía	60
2015	50	Zaragoza	Indefinido	3	Construcción	10
2015	50	Zaragoza	Temporal	3	Construcción	27
2015	50	Zaragoza	Sin clasificar	3	Construcción	1
2015	50	Zaragoza	Indefinido	4	Servicios	790
2015	50	Zaragoza	Temporal	4	Servicios	336
2015	50	Zaragoza	Sin clasificar	4	Servicios	1
2014	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	5
2014	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	8
2014	22	Huesca	Indefinido	2	Industria y energía	9
2014	22	Huesca	Temporal	2	Industria y energía	5
2014	22	Huesca	Indefinido	3	Construcción	7
2014	22	Huesca	Temporal	3	Construcción	3
2014	22	Huesca	Indefinido	4	Servicios	67
2014	22	Huesca	Temporal	4	Servicios	44
2014	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	2
2014	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	3
2014	44	Teruel	Indefinido	2	Industria y energía	7
2014	44	Teruel	Temporal	2	Industria y energía	3
2014	44	Teruel	Indefinido	3	Construcción	2
2014	44	Teruel	Temporal	3	Construcción	2
2014	44	Teruel	Indefinido	4	Servicios	27
2014	44	Teruel	Temporal	4	Servicios	27
2014	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	6
2014	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	20
2014	50	Zaragoza	Indefinido	2	Industria y energía	120
2014	50	Zaragoza	Temporal	2	Industria y energía	40
2014	50	Zaragoza	Indefinido	3	Construcción	29
2014	50	Zaragoza	Temporal	3	Construcción	15
2014	50	Zaragoza	Sin clasificar	3	Construcción	2
2014	50	Zaragoza	Indefinido	4	Servicios	777
2014	50	Zaragoza	Temporal	4	Servicios	315
2014	50	Zaragoza	Sin clasificar	4	Servicios	3
2013	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	7
2013	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	12
2013	22	Huesca	Indefinido	2	Industria y energía	12
2013	22	Huesca	Temporal	2	Industria y energía	7
2013	22	Huesca	Indefinido	3	Construcción	3
2013	22	Huesca	Temporal	3	Construcción	4
2013	22	Huesca	Indefinido	4	Servicios	75
2013	22	Huesca	Temporal	4	Servicios	53
2013	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	6
2013	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	1
2013	44	Teruel	Indefinido	2	Industria y energía	6
2013	44	Teruel	Temporal	2	Industria y energía	2
2013	44	Teruel	Indefinido	3	Construcción	2
2013	44	Teruel	Temporal	3	Construcción	2
2013	44	Teruel	Indefinido	4	Servicios	46
2013	44	Teruel	Temporal	4	Servicios	25
2013	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	9
2013	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	13
2013	50	Zaragoza	Sin clasificar	1	Agricultura, ganadería y pesca	1
2013	50	Zaragoza	Indefinido	2	Industria y energía	159
2013	50	Zaragoza	Temporal	2	Industria y energía	31
2013	50	Zaragoza	Indefinido	3	Construcción	26
2013	50	Zaragoza	Temporal	3	Construcción	14
2013	50	Zaragoza	Indefinido	4	Servicios	799
2013	50	Zaragoza	Temporal	4	Servicios	299
2013	50	Zaragoza	Sin clasificar	4	Servicios	1
2012	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	3
2012	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	3
2012	22	Huesca	Indefinido	2	Industria y energía	24
2012	22	Huesca	Temporal	2	Industria y energía	5
2012	22	Huesca	Indefinido	3	Construcción	9
2012	22	Huesca	Temporal	3	Construcción	5
2012	22	Huesca	Indefinido	4	Servicios	57
2012	22	Huesca	Temporal	4	Servicios	39
2012	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	1
2012	44	Teruel	Indefinido	2	Industria y energía	11
2012	44	Teruel	Temporal	2	Industria y energía	3
2012	44	Teruel	Temporal	3	Construcción	2
2012	44	Teruel	Indefinido	4	Servicios	31
2012	44	Teruel	Temporal	4	Servicios	19
2012	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	2
2012	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	3
2012	50	Zaragoza	Indefinido	2	Industria y energía	131
2012	50	Zaragoza	Temporal	2	Industria y energía	41
2012	50	Zaragoza	Indefinido	3	Construcción	36
2012	50	Zaragoza	Temporal	3	Construcción	16
2012	50	Zaragoza	Indefinido	4	Servicios	640
2012	50	Zaragoza	Temporal	4	Servicios	288
2012	50	Zaragoza	Sin clasificar	4	Servicios	1
2011	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	4
2011	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	11
2011	22	Huesca	Indefinido	2	Industria y energía	15
2011	22	Huesca	Temporal	2	Industria y energía	8
2011	22	Huesca	Indefinido	3	Construcción	4
2011	22	Huesca	Temporal	3	Construcción	5
2011	22	Huesca	Indefinido	4	Servicios	58
2011	22	Huesca	Temporal	4	Servicios	47
2011	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	1
2011	44	Teruel	Indefinido	2	Industria y energía	5
2011	44	Teruel	Temporal	2	Industria y energía	1
2011	44	Teruel	Indefinido	3	Construcción	4
2011	44	Teruel	Temporal	3	Construcción	2
2011	44	Teruel	Indefinido	4	Servicios	25
2011	44	Teruel	Temporal	4	Servicios	31
2011	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	3
2011	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	12
2011	50	Zaragoza	Indefinido	2	Industria y energía	202
2011	50	Zaragoza	Temporal	2	Industria y energía	56
2011	50	Zaragoza	Indefinido	3	Construcción	35
2011	50	Zaragoza	Temporal	3	Construcción	42
2011	50	Zaragoza	Indefinido	4	Servicios	758
2011	50	Zaragoza	Temporal	4	Servicios	303
2011	50	Zaragoza	Sin clasificar	4	Servicios	2
2010	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	5
2010	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	3
2010	22	Huesca	Sin clasificar	1	Agricultura, ganadería y pesca	1
2010	22	Huesca	Indefinido	2	Industria y energía	17
2010	22	Huesca	Temporal	2	Industria y energía	6
2010	22	Huesca	Indefinido	3	Construcción	14
2010	22	Huesca	Temporal	3	Construcción	16
2010	22	Huesca	Indefinido	4	Servicios	87
2010	22	Huesca	Temporal	4	Servicios	59
2010	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	4
2010	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	5
2010	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	1
2010	44	Teruel	Indefinido	2	Industria y energía	26
2010	44	Teruel	Temporal	2	Industria y energía	5
2010	44	Teruel	Indefinido	3	Construcción	7
2010	44	Teruel	Temporal	3	Construcción	6
2010	44	Teruel	Indefinido	4	Servicios	34
2010	44	Teruel	Temporal	4	Servicios	40
2010	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	6
2010	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	12
2010	50	Zaragoza	Indefinido	2	Industria y energía	249
2010	50	Zaragoza	Temporal	2	Industria y energía	72
2010	50	Zaragoza	Indefinido	3	Construcción	39
2010	50	Zaragoza	Temporal	3	Construcción	50
2010	50	Zaragoza	Indefinido	4	Servicios	793
2010	50	Zaragoza	Temporal	4	Servicios	376
2009	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	6
2009	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	1
2009	22	Huesca	Indefinido	2	Industria y energía	23
2009	22	Huesca	Temporal	2	Industria y energía	8
2009	22	Huesca	Indefinido	3	Construcción	17
2009	22	Huesca	Temporal	3	Construcción	21
2009	22	Huesca	Indefinido	4	Servicios	74
2009	22	Huesca	Temporal	4	Servicios	56
2009	22	Huesca	Sin clasificar	4	Servicios	1
2009	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	2
2009	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	3
2009	44	Teruel	Indefinido	2	Industria y energía	18
2009	44	Teruel	Temporal	2	Industria y energía	5
2009	44	Teruel	Indefinido	3	Construcción	6
2009	44	Teruel	Temporal	3	Construcción	17
2009	44	Teruel	Indefinido	4	Servicios	32
2009	44	Teruel	Temporal	4	Servicios	26
2009	44	Teruel	Sin clasificar	4	Servicios	1
2009	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	7
2009	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	14
2009	50	Zaragoza	Indefinido	2	Industria y energía	198
2009	50	Zaragoza	Temporal	2	Industria y energía	71
2009	50	Zaragoza	Indefinido	3	Construcción	53
2009	50	Zaragoza	Temporal	3	Construcción	50
2009	50	Zaragoza	Sin clasificar	3	Construcción	1
2009	50	Zaragoza	Indefinido	4	Servicios	777
2009	50	Zaragoza	Temporal	4	Servicios	344
2009	50	Zaragoza	Sin clasificar	4	Servicios	1