Año	CCAA nombre	Total viviendas	Viviendas nuevas	Viviendas de 2ª mano
2015	Aragón	11338	1570	9768
2014	Aragón	9943	1995	7948
2013	Aragón	7611	1821	5790
2012	Aragón	11048	4092	6956
2011	Aragón	9260	3474	5786
2010	Aragón	15073	7083	7990
2009	Aragón	14658	8491	6167
2008	Aragón	16383	9997	6386
2007	Aragón	23358	12148	11210
2006	Aragón	24158	9975	14183
2005	Aragón	25685	9587	16098
2004	Aragón	22864	6802	16062