Año	CCAA nombre	Total viviendas	Viviendas libres	Viviendas protegidas
2015	Aragón	11338	10995	343
2014	Aragón	9943	9415	528
2013	Aragón	7611	7103	508
2012	Aragón	11048	9722	1326
2011	Aragón	9260	8444	816
2010	Aragón	15073	12955	2118
2009	Aragón	14658	11647	3011
2008	Aragón	16383	14229	2154
2007	Aragón	23358	21453	1905
2006	Aragón	24158	23409	749
2005	Aragón	25685	24398	1287
2004	Aragón	22864	21346	1518